,P(GPa),P(Pa),V(Å3/atom),V(m3/mol),Molar Mass,Density,T(K),V_0s,,,,
,179.73 ,179731865000.00 ,7.68 ,4.62716E-06,0.045799611,9897.987734,6000.15 ,,,,,
,190.51 ,190507753000.00 ,7.57 ,4.55776E-06,0.045799611,10048.71594,5999.42 ,,,,,
,215.44 ,215440720000.00 ,7.34 ,4.42103E-06,0.045799611,10359.47929,5999.77 ,,,,,
,243.10 ,243102051000.00 ,7.12 ,4.28707E-06,0.045799611,10683.18996,5997.66 ,,,,,
,274.09 ,274091045000.00 ,6.90 ,4.15584E-06,0.045799611,11020.52932,6002.96 ,,,,,
,308.80 ,308800900000.00 ,6.69 ,4.02732E-06,0.045799611,11372.22222,6000.46 ,,,,,
Fe78O30    (9.9 wt% O),141.43 ,141428714000.00 ,7.57 ,4.55776E-06,0.040776917,8946.705936,3997.62 ,,,,,
,161.89 ,161894447000.00 ,7.34 ,4.42103E-06,0.040776917,9223.388876,3999.71 ,,,,,
,184.49 ,184491745000.00 ,7.12 ,4.28707E-06,0.040776917,9511.59925,4000.77 ,,,,,
,210.12 ,210119559000.00 ,6.90 ,4.15584E-06,0.040776917,9811.943701,3998.50 ,,,,,
,239.30 ,239300150000.00 ,6.69 ,4.02732E-06,0.040776917,10125.06759,4002.01 ,,,,,
,271.72 ,271721360000.00 ,6.48 ,3.90148E-06,0.040776917,10451.6579,4001.76 ,,,,,
,308.63 ,308627813000.00 ,6.27 ,3.77828E-06,0.040776917,10792.44642,4002.32 ,,,,,
,152.95 ,152954977000.00 ,7.57 ,4.55776E-06,0.040776917,8946.705936,4996.88 ,,,,,
,173.41 ,173411705000.00 ,7.34 ,4.42103E-06,0.040776917,9223.388876,5001.84 ,,,,,
,196.56 ,196557278000.00 ,7.12 ,4.28707E-06,0.040776917,9511.59925,4998.44 ,,,,,
,223.55 ,223554277000.00 ,6.90 ,4.15584E-06,0.040776917,9811.943701,4998.66 ,,,,,
,252.11 ,252113556000.00 ,6.69 ,4.02732E-06,0.040776917,10125.06759,5000.03 ,,,,,
,285.23 ,285229614000.00 ,6.48 ,3.90148E-06,0.040776917,10451.6579,4999.81 ,,,,,
,323.36 ,323363681000.00 ,6.27 ,3.77828E-06,0.040776917,10792.44642,4996.56 ,,,,,
,143.93 ,143932114000.00 ,7.80 ,4.69727E-06,0.040776917,8680.979823,5996.30 ,,,,,
,163.85 ,163849924000.00 ,7.57 ,4.55776E-06,0.040776917,8946.705936,6001.62 ,,,,,
,186.17 ,186166083000.00 ,7.34 ,4.42103E-06,0.040776917,9223.388876,5997.33 ,,,,,
,209.14 ,209143071000.00 ,7.12 ,4.28707E-06,0.040776917,9511.59925,5998.01 ,,,,,
,235.77 ,235774387000.00 ,6.90 ,4.15584E-06,0.040776917,9811.943701,5999.57 ,,,,,
,266.42 ,266421210000.00 ,6.69 ,4.02732E-06,0.040776917,10125.06759,6001.71 ,,,,,
,299.80 ,299799899000.00 ,6.48 ,3.90148E-06,0.040776917,10451.6579,6002.80 ,,,,,
,,,,3.77828E-06,,13073.56005,3997.22 ,,,,,
