# Supplementary Table S1 from Fischer et al. 2011. Pressure-volume-temperature data from synchrotron X-ray diffraction experiments.
# Original xls used: 1-s2.0-S0012821X11000963-mmc1.xls
# Footnotes: * B8-FeO observed but no volume/c/a reported because only one non-overlapping peak detected; † rhombohedrally-distorted FeO present; ‡ B8 volume/c/a uncertainty unconstrained due to only two non-overlapping peaks.
P[Pa]	dP[Pa]	T[K]	dT[K]	V_NaCl[m^3/mol]	dV_NaCl[m^3/mol]	V_Fe[m^3/mol]	dV_Fe[m^3/mol]	c/a_Fe	dc/a_Fe	V_B1-FeO[m^3/mol]	dV_B1-FeO[m^3/mol]	V_B8-FeO[m^3/mol]	dV_B8-FeO[m^3/mol]	c/a_B8-FeO	dc/a_B8-FeO
133796772316	443613674.457	1928.63	111.969356969	1.16967542451e-05	4.42868369252e-08	4.8997388001e-06	6.50302585896e-09	1.60502653797	0.00142014768631	8.18576894735e-06	2.49789620753e-08	8.01895977286e-06	‡	2.05298604971	‡
133921242496	712387817.787	1387.37	105.503444967	1.16770370552e-05	1.00480906648e-08	4.86269967684e-06	1.99765672879e-08	1.59965216371	0.00438104498999	8.236546544e-06	1.93612307237e-08	*	*	*	*
135537854727	724967291.588	1690.98	108.861014142	1.16833310093e-05	1.29840960349e-08	4.87104152696e-06	1.96437650791e-08	1.60058556403	0.00430319014045	8.23358660609e-06	2.31414592477e-08	*	*	*	*
135955585542	817148961.404	2231.27	116.480354138	1.16729304278e-05	4.90906327019e-08	4.90562943637e-06	2.12365417537e-08	1.60176100633	0.00462269792038	8.16178368435e-06	1.62138459457e-08	*	*	*	*
136648564028	822250256.576	1829.69	110.626561458	1.16828531168e-05	1.65241019188e-08	4.87247893476e-06	2.26879077098e-08	1.60115366291	0.00497034152016	8.22743980424e-06	2.63806938574e-08	*	*	*	*
138203016893	815249130.378	2431.09	119.766974162	1.17465510749e-05	2.05475455325e-08	4.90393107235e-06	2.03342228157e-08	1.60352167534	0.0044326842493	8.13704465626e-06	1.09449838063e-08	*	*	*	*
138378936409	548565278.118	2013.02	113.167488264	1.16818630051e-05	1.88453057617e-08	4.87275510749e-06	1.13652650091e-08	1.59962300177	0.00248731828691	8.2437588917e-06	9.69126976227e-09	8.03329008448e-06	1.52592210479e-08	2.00336571033	0.00253692653878
139118706791	709351004.37	2705.6	124.640924258	1.1768326154e-05	2.28618650061e-08	4.91799872383e-06	1.42834103058e-08	1.60003717314	0.0030980064225	8.14961817913e-06	3.77691646558e-08	8.00177665906e-06	2.38628417758e-08	2.0575257706	0.00409062587018
142143597012	710658679.91	2909.3	128.500933849	1.17898170412e-05	1.25819611134e-08	4.91162889984e-06	1.25203891857e-08	1.60558014123	0.00272855687959	8.16070793991e-06	1.77948404739e-08	*	*	*	*
142458779992	721863215.562	2895.72	128.237585754	1.18091977123e-05	4.27127032219e-08	4.90826577841e-06	1.32377069646e-08	1.60043269684	0.00287760280499	8.14876464602e-06	1.62588295765e-08	8.02192615696e-06	2.40277246246e-08	2.05262934023	0.00409876726848
